,1,2,3,4,
Resistance[kOhm],8.7,6.6,5.0,3.15
Black[mV],13.7,16.1,18.7,24.5
Grey[mV],4.8,5.8,6.7,8.8
Mirror[mV],0.7,1.1,0.9,1.5
White[mV],13.1,15.5,18.1,23.4

